episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.88,-415616024,55632,4324,836.8
2,0506,0.99,-1074726854,48175,6027,1639.3
3,0507,1.26,-643757879,29165,10098,1110.8
4,0507,0.73,-1456042,30299,9996,29.0
5,0507,1.51,-89854653,51131,5842,162.9
6,0506,1.48,-241997335,51877,5581,445.1
7,0507,1.03,-1932703,48410,6538,47.6
8,0506,0.82,-1286893,48126,6409,48.1
9,0507,1.05,-2216431,48194,6615,55.8
10,0507,1.59,-119583758,49217,6190,266.1
11,0506,0.94,-4277985,43570,7435,63.9
12,0506,1.39,-133633741,45735,7045,269.7
13,0507,1.16,-3810680,43836,7537,73.1
14,0506,0.87,-1378533,44584,7288,72.9
15,0507,1.53,-48038199,46223,7040,145.3
16,0507,0.60,-340148,42317,7798,74.2
17,0505,0.57,-303207,44078,7331,79.2
18,0506,1.25,-57745130,45024,7179,164.8
19,0505,0.55,-286529,42703,7701,84.7
20,0506,1.34,-94579855,44729,7385,234.2
