episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.54,-920715815,56549,5100,1220.6
2,0505,0.66,-286914842,56631,4478,469.7
3,0506,0.62,-15613736,37625,8553,40.2
4,0507,1.04,-145299686,43106,7852,215.5
5,0505,1.52,-407373240,43187,7657,682.8
6,0505,1.47,-151629916,53452,5864,262.3
7,0505,1.19,-118822644,44045,7530,206.1
8,0505,0.61,-48366852,51041,6173,85.8
9,0505,0.52,-33999672,53254,5893,77.8
10,0507,0.87,-88210625,43627,7734,162.3
11,0506,1.24,-112842535,48274,6832,222.6
12,0505,0.52,-11629089,51351,6186,72.1
13,0506,1.50,-322837425,51206,6281,656.6
14,0505,1.07,-74089920,42945,7753,170.1
15,0506,1.58,-365090741,50282,6441,708.9
16,0506,1.04,-114842005,41075,8161,235.4
17,0506,1.44,-242106640,48522,6754,499.1
18,0505,1.02,-69377729,42065,7919,160.6
19,0505,1.03,-64224048,41709,7985,162.0
20,0506,1.07,-94620335,43876,7647,209.3
