episode,date,scale,total_reward,decisions,switches,wall_s
1,0505,0.90,-119745173,47994,5593,142.9
2,0506,1.53,-464339535,52154,5595,738.9
3,0507,1.02,-628746438,44828,6620,926.8
4,0505,1.53,-957516112,32530,9483,1430.5
5,0507,1.15,-177324234,26343,10864,304.3
6,0505,0.88,-207249760,49118,5743,381.0
7,0506,1.32,-620535164,43519,7429,1050.7
8,0507,0.74,-20949829,43319,7604,61.8
9,0505,0.79,-1179501,44012,7674,48.9
10,0507,1.06,-56633401,47360,7037,118.4
11,0505,0.73,-921027,44078,7641,55.5
12,0506,0.78,-16384367,51626,6243,76.0
13,0507,0.75,-2655389,42792,7904,65.8
14,0505,0.53,-310289,46861,7138,63.9
15,0507,0.62,-1072750,41009,8228,70.1
16,0505,0.95,-6529077,46460,7186,81.9
17,0507,0.68,-1792108,42133,8020,80.6
18,0507,0.62,-1280166,39653,8486,80.8
19,0507,1.59,-201218019,43407,7785,423.6
20,0507,1.03,-25859083,48313,6899,120.2
