episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.18,-4986006,65814,3743,194.5
2,0506,1.25,-4667518,61108,4598,728.6
3,0505,1.21,-1937970,43242,7847,68.2
4,0505,0.71,-969541,19790,12111,42.8
5,0507,0.76,-855827,26094,10965,39.7
6,0505,0.85,-667514,32645,9774,46.9
7,0505,1.29,-1024233,40778,8295,64.2
8,0507,0.94,-566011,31462,9989,42.6
9,0506,0.62,-356665,40146,8410,55.0
10,0507,0.80,-419146,33817,9560,66.7
11,0507,1.14,-726992,37350,8918,64.8
12,0505,1.16,-688050,38886,8639,66.0
13,0507,0.54,-240873,25939,10993,56.7
14,0505,0.67,-281634,34042,9520,74.0
15,0507,0.76,-379493,31984,9894,80.2
16,0505,0.69,-289003,32547,9792,76.4
17,0506,0.81,-560423,37786,8839,69.7
18,0507,0.84,-453530,28790,10475,107.5
19,0505,0.60,-246037,32814,9743,100.7
20,0507,1.25,-899916,37831,8831,94.5
