time_15min,direction,sensor,vph_raw
15:45,Southbound,advance-260ft,695.9
16:00,Southbound,advance-260ft,611.2
16:15,Southbound,advance-260ft,434.4
16:30,Southbound,advance-260ft,367.1
16:45,Southbound,advance-260ft,490.4
17:00,Southbound,advance-260ft,490.2
17:15,Southbound,advance-260ft,362.6
17:30,Southbound,advance-260ft,412.8
17:45,Southbound,advance-260ft,437.6
18:00,Southbound,advance-260ft,409.6
18:15,Southbound,advance-260ft,585.5
18:30,Southbound,advance-260ft,643.6
18:45,Southbound,advance-260ft,441.5
19:00,Southbound,advance-260ft,344.7
19:15,Southbound,advance-260ft,325.2
19:30,Southbound,advance-260ft,339.7
19:45,Southbound,advance-260ft,361.3
20:00,Southbound,advance-260ft,350.6
20:15,Southbound,advance-260ft,349.0
20:30,Southbound,advance-260ft,356.0
20:45,Southbound,advance-260ft,371.6
21:00,Southbound,advance-260ft,375.4
21:15,Southbound,advance-260ft,360.3
21:30,Southbound,advance-260ft,362.4
21:45,Southbound,advance-260ft,441.9
22:00,Southbound,advance-260ft,441.0
22:15,Southbound,advance-260ft,378.0
22:30,Southbound,advance-260ft,379.0
22:45,Southbound,advance-260ft,378.7
23:00,Southbound,advance-260ft,354.9
23:15,Southbound,advance-260ft,332.4
23:30,Southbound,advance-260ft,291.1
23:45,Southbound,advance-260ft,
