time_15min,direction,sensor,vph_raw
00:00,Northbound,matrix,856.9
00:15,Northbound,matrix,780.9
00:30,Northbound,matrix,731.5
00:45,Northbound,matrix,658.0
01:00,Northbound,matrix,609.9
01:15,Northbound,matrix,629.9
01:30,Northbound,matrix,
01:45,Northbound,matrix,600.4
02:00,Northbound,matrix,577.7
02:15,Northbound,matrix,514.9
02:30,Northbound,matrix,504.3
02:45,Northbound,matrix,
03:00,Northbound,matrix,244.2
03:15,Northbound,matrix,170.9
03:30,Northbound,matrix,
03:45,Northbound,matrix,
04:00,Northbound,matrix,
04:15,Northbound,matrix,
04:30,Northbound,matrix,
04:45,Northbound,matrix,
05:00,Northbound,matrix,
05:15,Northbound,matrix,
05:30,Northbound,matrix,
05:45,Northbound,matrix,
06:00,Northbound,matrix,
06:15,Northbound,matrix,
06:30,Northbound,matrix,
06:45,Northbound,matrix,
07:00,Northbound,matrix,
07:15,Northbound,matrix,
07:30,Northbound,matrix,
07:45,Northbound,matrix,
08:00,Northbound,matrix,
08:15,Northbound,matrix,
08:30,Northbound,matrix,
08:45,Northbound,matrix,
09:00,Northbound,matrix,
09:15,Northbound,matrix,
09:30,Northbound,matrix,
09:45,Northbound,matrix,
10:00,Northbound,matrix,
10:15,Northbound,matrix,
10:30,Northbound,matrix,
10:45,Northbound,matrix,
11:00,Northbound,matrix,
11:15,Northbound,matrix,
11:30,Northbound,matrix,
11:45,Northbound,matrix,
12:00,Northbound,matrix,
12:15,Northbound,matrix,
12:30,Northbound,matrix,
12:45,Northbound,matrix,
13:00,Northbound,matrix,4294.4
13:15,Northbound,matrix,4257.9
13:30,Northbound,matrix,
13:45,Northbound,matrix,3980.9
14:00,Northbound,matrix,3974.5
14:15,Northbound,matrix,4075.9
14:30,Northbound,matrix,4110.7
14:45,Northbound,matrix,4083.8
15:00,Northbound,matrix,4037.9
15:15,Northbound,matrix,3972.3
15:30,Northbound,matrix,
15:45,Northbound,matrix,
16:00,Northbound,matrix,3788.6
16:15,Northbound,matrix,4032.0
16:30,Northbound,matrix,4048.0
16:45,Northbound,matrix,3823.8
17:00,Northbound,matrix,4291.2
17:15,Northbound,matrix,3695.1
17:30,Northbound,matrix,3656.6
17:45,Northbound,matrix,3797.2
18:00,Northbound,matrix,2778.6
18:15,Northbound,matrix,2108.1
18:30,Northbound,matrix,1734.6
18:45,Northbound,matrix,1561.8
19:00,Northbound,matrix,1502.9
19:15,Northbound,matrix,1637.8
19:30,Northbound,matrix,1525.6
19:45,Northbound,matrix,1511.5
20:00,Northbound,matrix,1594.1
20:15,Northbound,matrix,1532.0
20:30,Northbound,matrix,1515.3
20:45,Northbound,matrix,1398.4
21:00,Northbound,matrix,1244.5
21:15,Northbound,matrix,1271.2
21:30,Northbound,matrix,1346.2
21:45,Northbound,matrix,1298.7
22:00,Northbound,matrix,1236.0
22:15,Northbound,matrix,
22:30,Northbound,matrix,1267.0
22:45,Northbound,matrix,1249.3
23:00,Northbound,matrix,1197.4
23:15,Northbound,matrix,1106.8
23:30,Northbound,matrix,1080.2
23:45,Northbound,matrix,1080.2
00:00,Southbound,matrix,1003.0
00:15,Southbound,matrix,937.7
00:30,Southbound,matrix,873.1
00:45,Southbound,matrix,819.5
01:00,Southbound,matrix,721.1
01:15,Southbound,matrix,688.6
01:30,Southbound,matrix,623.2
01:45,Southbound,matrix,541.9
02:00,Southbound,matrix,500.7
02:15,Southbound,matrix,440.8
02:30,Southbound,matrix,423.6
02:45,Southbound,matrix,458.5
03:00,Southbound,matrix,292.6
03:15,Southbound,matrix,85.9
03:30,Southbound,matrix,
03:45,Southbound,matrix,
04:00,Southbound,matrix,
04:15,Southbound,matrix,
04:30,Southbound,matrix,
04:45,Southbound,matrix,
05:00,Southbound,matrix,
05:15,Southbound,matrix,
05:30,Southbound,matrix,
05:45,Southbound,matrix,
06:00,Southbound,matrix,
06:15,Southbound,matrix,
06:30,Southbound,matrix,
06:45,Southbound,matrix,
07:00,Southbound,matrix,
07:15,Southbound,matrix,
07:30,Southbound,matrix,
07:45,Southbound,matrix,
08:00,Southbound,matrix,
08:15,Southbound,matrix,
08:30,Southbound,matrix,
08:45,Southbound,matrix,
09:00,Southbound,matrix,
09:15,Southbound,matrix,
09:30,Southbound,matrix,
09:45,Southbound,matrix,
10:00,Southbound,matrix,
10:15,Southbound,matrix,
10:30,Southbound,matrix,263.2
10:45,Southbound,matrix,1197.4
11:00,Southbound,matrix,2717.0
11:15,Southbound,matrix,3034.3
11:30,Southbound,matrix,3029.8
11:45,Southbound,matrix,3072.3
12:00,Southbound,matrix,3079.9
12:15,Southbound,matrix,3056.2
12:30,Southbound,matrix,2972.6
12:45,Southbound,matrix,3191.3
13:00,Southbound,matrix,2479.4
13:15,Southbound,matrix,2018.6
13:30,Southbound,matrix,2139.4
13:45,Southbound,matrix,2192.6
14:00,Southbound,matrix,2195.9
14:15,Southbound,matrix,2187.9
14:30,Southbound,matrix,2147.0
14:45,Southbound,matrix,2113.8
15:00,Southbound,matrix,2055.5
15:15,Southbound,matrix,2094.8
15:30,Southbound,matrix,2081.3
15:45,Southbound,matrix,2163.2
16:00,Southbound,matrix,2302.8
16:15,Southbound,matrix,2078.9
16:30,Southbound,matrix,2029.1
16:45,Southbound,matrix,2258.2
17:00,Southbound,matrix,1979.5
17:15,Southbound,matrix,2136.8
17:30,Southbound,matrix,2325.8
17:45,Southbound,matrix,2808.1
18:00,Southbound,matrix,3033.4
18:15,Southbound,matrix,2350.3
18:30,Southbound,matrix,2263.5
18:45,Southbound,matrix,2259.1
19:00,Southbound,matrix,2133.7
19:15,Southbound,matrix,2158.4
19:30,Southbound,matrix,2089.3
19:45,Southbound,matrix,2179.3
20:00,Southbound,matrix,2120.4
20:15,Southbound,matrix,1938.4
20:30,Southbound,matrix,1720.5
20:45,Southbound,matrix,1550.4
21:00,Southbound,matrix,1521.9
21:15,Southbound,matrix,1459.1
21:30,Southbound,matrix,1422.2
