time_15min,direction,sensor,vph_raw
14:30,Westbound,advance-stopbar,1289.7
14:45,Westbound,advance-stopbar,1220.0
15:00,Westbound,advance-stopbar,1113.2
15:15,Westbound,advance-stopbar,1004.2
15:30,Westbound,advance-stopbar,1013.5
15:45,Westbound,advance-stopbar,1157.2
16:00,Westbound,advance-stopbar,1087.1
16:15,Westbound,advance-stopbar,916.7
16:30,Westbound,advance-stopbar,966.0
16:45,Westbound,advance-stopbar,1043.2
17:00,Westbound,advance-stopbar,1041.4
17:15,Westbound,advance-stopbar,1080.0
17:30,Westbound,advance-stopbar,1079.6
17:45,Westbound,advance-stopbar,1424.0
18:00,Westbound,advance-stopbar,1412.8
18:15,Westbound,advance-stopbar,1182.2
18:30,Westbound,advance-stopbar,1092.1
18:45,Westbound,advance-stopbar,881.7
19:00,Westbound,advance-stopbar,759.9
19:15,Westbound,advance-stopbar,905.3
19:30,Westbound,advance-stopbar,1033.9
19:45,Westbound,advance-stopbar,940.6
20:00,Westbound,advance-stopbar,912.4
20:15,Westbound,advance-stopbar,952.4
20:30,Westbound,advance-stopbar,950.3
20:45,Westbound,advance-stopbar,851.3
21:00,Westbound,advance-stopbar,770.9
21:15,Westbound,advance-stopbar,813.0
21:30,Westbound,advance-stopbar,931.4
21:45,Westbound,advance-stopbar,962.8
22:00,Westbound,advance-stopbar,963.9
22:15,Westbound,advance-stopbar,914.6
22:30,Westbound,advance-stopbar,857.0
22:45,Westbound,advance-stopbar,848.5
23:00,Westbound,advance-stopbar,789.9
23:15,Westbound,advance-stopbar,780.6
23:30,Westbound,advance-stopbar,772.0
23:45,Westbound,advance-stopbar,
