time_15min,direction,sensor,vph_raw
00:00,Eastbound,matrix,219.7
00:15,Eastbound,matrix,221.4
00:30,Eastbound,matrix,180.0
00:45,Eastbound,matrix,128.5
01:00,Eastbound,matrix,147.1
01:15,Eastbound,matrix,135.7
01:30,Eastbound,matrix,121.0
01:45,Eastbound,matrix,181.4
02:00,Eastbound,matrix,146.0
02:15,Eastbound,matrix,90.0
02:30,Eastbound,matrix,70.6
02:45,Eastbound,matrix,50.7
03:00,Eastbound,matrix,48.1
03:15,Eastbound,matrix,45.3
03:30,Eastbound,matrix,36.7
03:45,Eastbound,matrix,46.4
04:00,Eastbound,matrix,48.5
04:15,Eastbound,matrix,38.4
04:30,Eastbound,matrix,46.7
04:45,Eastbound,matrix,71.0
05:00,Eastbound,matrix,84.2
05:15,Eastbound,matrix,113.5
05:30,Eastbound,matrix,108.3
05:45,Eastbound,matrix,149.6
06:00,Eastbound,matrix,241.1
06:15,Eastbound,matrix,324.7
06:30,Eastbound,matrix,410.1
06:45,Eastbound,matrix,535.1
07:00,Eastbound,matrix,619.8
07:15,Eastbound,matrix,676.4
07:30,Eastbound,matrix,936.4
07:45,Eastbound,matrix,1028.9
08:00,Eastbound,matrix,982.8
08:15,Eastbound,matrix,866.7
08:30,Eastbound,matrix,859.2
08:45,Eastbound,matrix,886.7
09:00,Eastbound,matrix,799.5
09:15,Eastbound,matrix,800.6
09:30,Eastbound,matrix,838.5
09:45,Eastbound,matrix,896.0
10:00,Eastbound,matrix,1439.9
10:15,Eastbound,matrix,1326.4
10:30,Eastbound,matrix,872.5
10:45,Eastbound,matrix,903.5
11:00,Eastbound,matrix,860.2
11:15,Eastbound,matrix,818.5
11:30,Eastbound,matrix,917.8
11:45,Eastbound,matrix,941.0
12:00,Eastbound,matrix,988.0
12:15,Eastbound,matrix,984.9
12:30,Eastbound,matrix,943.5
12:45,Eastbound,matrix,1002.5
13:00,Eastbound,matrix,1057.6
13:15,Eastbound,matrix,1058.6
13:30,Eastbound,matrix,1021.0
13:45,Eastbound,matrix,971.8
14:00,Eastbound,matrix,1019.2
14:15,Eastbound,matrix,1052.5
14:30,Eastbound,matrix,992.8
14:45,Eastbound,matrix,1019.6
15:00,Eastbound,matrix,1111.1
15:15,Eastbound,matrix,1125.0
15:30,Eastbound,matrix,1141.4
15:45,Eastbound,matrix,1191.3
16:00,Eastbound,matrix,1387.2
16:15,Eastbound,matrix,1662.9
16:30,Eastbound,matrix,1549.1
16:45,Eastbound,matrix,1790.7
17:00,Eastbound,matrix,1825.7
17:15,Eastbound,matrix,1358.8
17:30,Eastbound,matrix,1280.1
17:45,Eastbound,matrix,1271.5
18:00,Eastbound,matrix,1287.2
18:15,Eastbound,matrix,1316.9
18:30,Eastbound,matrix,1258.5
18:45,Eastbound,matrix,1106.1
19:00,Eastbound,matrix,1031.0
19:15,Eastbound,matrix,940.6
19:30,Eastbound,matrix,856.3
19:45,Eastbound,matrix,843.5
20:00,Eastbound,matrix,917.8
20:15,Eastbound,matrix,871.3
20:30,Eastbound,matrix,770.2
20:45,Eastbound,matrix,775.9
21:00,Eastbound,matrix,718.4
21:15,Eastbound,matrix,747.5
21:30,Eastbound,matrix,686.3
21:45,Eastbound,matrix,591.9
22:00,Eastbound,matrix,578.7
22:15,Eastbound,matrix,527.3
22:30,Eastbound,matrix,517.6
22:45,Eastbound,matrix,
23:00,Eastbound,matrix,
23:15,Eastbound,matrix,
23:30,Eastbound,matrix,
23:45,Eastbound,matrix,
00:00,Westbound,matrix,138.0
00:15,Westbound,matrix,112.5
00:30,Westbound,matrix,99.6
00:45,Westbound,matrix,91.4
01:00,Westbound,matrix,92.5
01:15,Westbound,matrix,74.9
01:30,Westbound,matrix,74.6
01:45,Westbound,matrix,86.4
02:00,Westbound,matrix,77.1
02:15,Westbound,matrix,53.2
02:30,Westbound,matrix,36.1
02:45,Westbound,matrix,26.0
03:00,Westbound,matrix,25.3
03:15,Westbound,matrix,21.0
03:30,Westbound,matrix,13.9
03:45,Westbound,matrix,22.4
04:00,Westbound,matrix,28.1
04:15,Westbound,matrix,16.0
04:30,Westbound,matrix,28.1
04:45,Westbound,matrix,40.6
05:00,Westbound,matrix,57.8
05:15,Westbound,matrix,82.9
05:30,Westbound,matrix,111.1
05:45,Westbound,matrix,141.8
06:00,Westbound,matrix,164.3
06:15,Westbound,matrix,187.5
06:30,Westbound,matrix,260.7
06:45,Westbound,matrix,331.1
07:00,Westbound,matrix,431.2
07:15,Westbound,matrix,590.5
07:30,Westbound,matrix,723.8
07:45,Westbound,matrix,731.6
08:00,Westbound,matrix,737.7
08:15,Westbound,matrix,734.5
08:30,Westbound,matrix,658.0
08:45,Westbound,matrix,637.7
09:00,Westbound,matrix,686.3
09:15,Westbound,matrix,648.7
09:30,Westbound,matrix,573.7
09:45,Westbound,matrix,574.1
10:00,Westbound,matrix,913.0
10:15,Westbound,matrix,697.3
10:30,Westbound,matrix,453.3
10:45,Westbound,matrix,473.0
11:00,Westbound,matrix,489.0
11:15,Westbound,matrix,476.5
11:30,Westbound,matrix,439.0
11:45,Westbound,matrix,472.6
12:00,Westbound,matrix,534.1
12:15,Westbound,matrix,524.8
12:30,Westbound,matrix,505.8
12:45,Westbound,matrix,514.4
13:00,Westbound,matrix,583.0
13:15,Westbound,matrix,535.1
13:30,Westbound,matrix,447.2
13:45,Westbound,matrix,491.2
14:00,Westbound,matrix,493.7
14:15,Westbound,matrix,476.9
14:30,Westbound,matrix,459.7
14:45,Westbound,matrix,446.5
15:00,Westbound,matrix,440.8
15:15,Westbound,matrix,390.4
15:30,Westbound,matrix,427.2
15:45,Westbound,matrix,470.0
16:00,Westbound,matrix,528.7
16:15,Westbound,matrix,706.3
16:30,Westbound,matrix,614.1
16:45,Westbound,matrix,541.2
17:00,Westbound,matrix,531.2
17:15,Westbound,matrix,391.9
17:30,Westbound,matrix,381.1
17:45,Westbound,matrix,403.6
18:00,Westbound,matrix,378.6
18:15,Westbound,matrix,369.7
18:30,Westbound,matrix,415.2
18:45,Westbound,matrix,406.9
19:00,Westbound,matrix,396.9
19:15,Westbound,matrix,400.4
19:30,Westbound,matrix,433.7
19:45,Westbound,matrix,485.1
20:00,Westbound,matrix,474.4
20:15,Westbound,matrix,484.0
20:30,Westbound,matrix,463.3
20:45,Westbound,matrix,513.0
21:00,Westbound,matrix,497.6
21:15,Westbound,matrix,439.0
21:30,Westbound,matrix,406.5
21:45,Westbound,matrix,356.1
22:00,Westbound,matrix,376.1
22:15,Westbound,matrix,459.7
22:30,Westbound,matrix,495.8
22:45,Westbound,matrix,274.3
23:00,Westbound,matrix,61.5
23:15,Westbound,matrix,
23:30,Westbound,matrix,
23:45,Westbound,matrix,
