time_15min,direction,sensor,vph_raw
21:00,Westbound,matrix,520.1
21:15,Westbound,matrix,535.6
21:30,Westbound,matrix,445.9
21:45,Westbound,matrix,346.4
22:00,Westbound,matrix,304.5
22:15,Westbound,matrix,316.4
22:30,Westbound,matrix,364.5
22:45,Westbound,matrix,327.3
23:00,Westbound,matrix,261.2
23:15,Westbound,matrix,272.1
23:30,Westbound,matrix,301.6
23:45,Westbound,matrix,309.7
