time_15min,direction,sensor,vph_raw
00:00,Eastbound,matrix,651.2
00:15,Eastbound,matrix,640.5
00:30,Eastbound,matrix,612.3
00:45,Eastbound,matrix,616.6
01:00,Eastbound,matrix,601.6
01:15,Eastbound,matrix,483.7
01:30,Eastbound,matrix,425.1
01:45,Eastbound,matrix,401.1
02:00,Eastbound,matrix,346.5
02:15,Eastbound,matrix,256.8
02:30,Eastbound,matrix,271.5
02:45,Eastbound,matrix,338.3
03:00,Eastbound,matrix,346.1
03:15,Eastbound,matrix,294.1
03:30,Eastbound,matrix,
03:45,Eastbound,matrix,150.8
04:00,Eastbound,matrix,139.6
04:15,Eastbound,matrix,125.5
04:30,Eastbound,matrix,99.6
04:45,Eastbound,matrix,99.2
05:00,Eastbound,matrix,118.5
05:15,Eastbound,matrix,98.0
05:30,Eastbound,matrix,74.2
05:45,Eastbound,matrix,106.4
06:00,Eastbound,matrix,131.8
06:15,Eastbound,matrix,150.7
06:30,Eastbound,matrix,121.0
06:45,Eastbound,matrix,128.6
07:00,Eastbound,matrix,155.0
07:15,Eastbound,matrix,140.7
07:30,Eastbound,matrix,192.1
07:45,Eastbound,matrix,211.2
08:00,Eastbound,matrix,260.0
08:15,Eastbound,matrix,318.3
08:30,Eastbound,matrix,320.1
08:45,Eastbound,matrix,437.9
09:00,Eastbound,matrix,493.3
09:15,Eastbound,matrix,466.9
09:30,Eastbound,matrix,485.5
09:45,Eastbound,matrix,522.6
10:00,Eastbound,matrix,620.5
10:15,Eastbound,matrix,656.2
10:30,Eastbound,matrix,602.6
10:45,Eastbound,matrix,642.0
11:00,Eastbound,matrix,759.1
11:15,Eastbound,matrix,784.9
11:30,Eastbound,matrix,795.9
11:45,Eastbound,matrix,903.8
12:00,Eastbound,matrix,947.1
12:15,Eastbound,matrix,952.4
12:30,Eastbound,matrix,955.6
12:45,Eastbound,matrix,753.0
13:00,Eastbound,matrix,920.5
13:15,Eastbound,matrix,1017.8
13:30,Eastbound,matrix,820.2
13:45,Eastbound,matrix,843.5
14:00,Eastbound,matrix,891.7
14:15,Eastbound,matrix,1258.4
14:30,Eastbound,matrix,1314.7
14:45,Eastbound,matrix,1025.4
15:00,Eastbound,matrix,1445.5
15:15,Eastbound,matrix,1470.8
15:30,Eastbound,matrix,927.1
15:45,Eastbound,matrix,995.2
16:00,Eastbound,matrix,952.8
16:15,Eastbound,matrix,819.9
16:30,Eastbound,matrix,853.8
16:45,Eastbound,matrix,853.8
