episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-421120874,58125,3978,1056.9
2,0506,1.02,-265363689,47114,6335,654.5
3,0506,1.04,-189593990,50018,5740,461.6
4,0505,0.66,-11477886,49407,5853,61.8
5,0505,1.19,-425907907,50730,5904,947.2
6,0507,0.83,-60044272,49349,5974,170.5
7,0507,1.18,-460751757,55179,4696,1251.5
8,0505,0.76,-27016315,24131,11186,132.5
9,0507,0.52,-389442,27125,10732,63.9
10,0506,1.35,-563790354,30163,9944,1572.2
11,0506,0.81,-102324380,22902,11482,300.6
12,0507,1.53,-142435213,44734,7188,455.0
13,0507,1.53,-58766529,49138,6359,254.8
14,0507,1.60,-72158471,50205,6152,214.3
15,0505,1.37,-12734857,46421,6937,99.9
16,0507,0.74,-1076122,43284,7526,114.5
17,0505,0.85,-784537,40553,8084,128.1
18,0506,1.35,-135095237,45342,7080,498.7
19,0505,0.61,-463938,40307,8126,113.3
20,0507,0.57,-462452,41843,7797,129.2
