episode,date,scale,total_reward,decisions,switches,wall_s
1,0505,1.05,-874324755,48909,5472,1278.2
2,0506,0.81,-440866004,35566,8805,674.2
3,0505,0.85,-100662311,35555,8837,143.8
4,0506,1.09,-574387960,57740,4614,889.0
5,0505,1.13,-581028238,53868,5548,975.3
6,0505,1.46,-200469020,39328,8385,375.4
7,0507,0.98,-87502852,48907,6691,132.5
8,0507,1.00,-27789610,46434,6863,74.8
9,0506,0.88,-18330328,46270,6943,71.0
10,0506,1.49,-297618115,55260,5198,591.1
11,0505,0.99,-27244794,44221,7497,85.1
12,0506,0.51,-2397807,51074,6165,61.0
13,0506,0.94,-63944046,46946,7026,136.6
14,0505,1.57,-159962424,42791,7837,310.2
15,0507,0.97,-34278563,46168,7210,103.4
16,0507,1.30,-114210152,44617,7523,238.9
17,0505,0.83,-11884078,42298,7907,90.9
18,0507,0.55,-3673534,45145,7416,88.3
19,0505,1.19,-72492087,41044,8182,171.1
20,0506,0.83,-47019701,45314,7326,131.7
