episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.55,-312949584,64450,2496,891.7
2,0506,0.54,-451079646,56433,4291,1191.9
3,0506,1.57,-648786982,52119,5435,1664.8
4,0506,1.32,-506801451,48205,6177,1299.3
5,0506,1.35,-838572708,42786,7272,2377.0
6,0505,0.92,-91871175,39227,8190,231.9
7,0505,0.67,-53585472,27474,10479,143.0
8,0507,1.24,-165546261,36389,8790,441.0
9,0507,0.93,-118446305,36125,8842,286.3
10,0505,1.14,-140569318,38303,8456,338.1
11,0507,0.54,-61395478,45484,6702,190.3
12,0505,1.00,-107891671,38596,8409,297.1
13,0506,1.01,-87736908,42417,7607,205.3
14,0506,1.33,-192296491,46742,6683,563.5
15,0507,1.49,-143315889,43517,7477,401.3
16,0505,1.18,-121117091,40894,8004,259.7
17,0505,1.40,-136565569,43077,7588,314.2
18,0505,0.64,-47343129,45167,6858,138.5
19,0507,0.66,-54670262,42200,7630,183.7
20,0507,1.03,-101755438,40195,8149,260.2
