episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-414113544,59721,3623,1056.0
2,0506,1.22,-408864145,40744,7754,922.0
3,0507,0.69,-149315964,39700,8059,358.6
4,0507,0.97,-645744057,54024,4966,1544.0
5,0505,1.35,-36681413,45420,7052,164.0
6,0506,0.86,-179043345,37112,8550,513.0
7,0507,1.52,-375475181,54717,4914,1024.9
8,0506,0.90,-2256370,46816,6673,77.9
9,0507,1.05,-3139099,49567,6204,87.7
10,0505,1.41,-9253476,53582,5358,112.8
11,0506,1.42,-163563197,54946,4975,521.8
12,0506,1.00,-9756481,54121,5173,125.2
13,0507,0.63,-489241,54741,4977,102.0
14,0506,1.32,-98356698,52693,5456,307.4
15,0505,1.26,-3300149,47312,6709,126.4
16,0506,0.59,-437055,52086,5566,116.9
17,0506,1.48,-225494964,53089,5479,731.3
18,0505,0.75,-482189,48326,6466,131.1
19,0505,0.59,-378155,52567,5527,133.6
20,0506,0.74,-703777,49413,6224,145.2
