episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.15,-6116320,52539,6156,1225.0
2,0505,1.01,-1969223,57401,5272,58.4
3,0507,0.57,-1085588,41121,8232,32.3
4,0505,1.03,-612676,37522,8887,44.1
5,0507,1.25,-974816,41607,8144,60.2
6,0505,1.05,-560696,36336,9102,47.1
7,0506,1.03,-943567,44675,7586,62.2
8,0507,1.22,-851769,42238,8030,72.9
9,0507,0.54,-244193,32638,9775,58.6
10,0506,0.61,-327660,37104,8963,62.6
11,0505,0.59,-242750,35300,9291,65.6
12,0507,1.10,-676516,39404,8545,82.7
13,0505,0.70,-312469,35278,9295,74.1
14,0506,1.09,-1133787,45211,7490,105.1
15,0505,0.80,-378538,36314,9107,85.7
16,0506,0.91,-746500,41572,8151,95.7
17,0505,1.15,-667068,38667,8679,100.1
18,0507,0.92,-517917,34434,9448,100.5
19,0505,0.66,-285315,31538,9975,96.8
20,0506,1.14,-1215227,45160,7498,132.4
