episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-421979614,59845,3580,1090.4
2,0506,0.89,-146709602,39381,8127,353.7
3,0507,0.92,-430677250,47809,6480,968.1
4,0506,1.08,-249943488,50249,5735,688.2
5,0506,1.57,-681014117,50946,5628,1859.0
6,0506,0.60,-13633161,46333,6789,84.7
7,0507,0.91,-202324692,46520,6575,630.8
8,0507,0.78,-6419194,44289,7115,81.3
9,0507,0.85,-22410010,44465,7097,109.6
10,0506,1.21,-121938989,49501,5952,390.7
11,0507,0.64,-35317964,40207,7978,129.0
12,0505,0.60,-16254358,41957,7678,109.1
12,0505,0.60,-16254358,41957,7678,63.9
13,0505,1.19,-63520903,47217,6552,107.1
14,0505,1.47,-100039236,46652,6678,158.3
15,0505,1.46,-93516747,48820,6239,151.4
16,0506,1.12,-90161953,48007,6386,153.1
17,0506,1.07,-76573789,48102,6312,139.5
18,0507,1.23,-73052999,51063,5715,153.8
19,0507,0.72,-30312947,44740,7052,105.7
20,0507,0.64,-25532430,42400,7551,103.1
