episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.06,-611925461,15009,12969,1035.9
2,0505,1.10,-311026537,30979,9893,468.5
3,0505,1.12,-486157084,49685,5733,927.5
4,0506,1.37,-1036567230,49273,5960,2193.8
5,0505,1.34,-30757105,44265,7131,109.5
6,0506,1.48,-208467159,49571,5960,410.4
7,0507,1.32,-44242237,41163,7697,93.9
8,0507,0.69,-748391,40410,8040,45.3
9,0505,1.52,-44547245,52116,5515,102.9
10,0505,0.96,-852156,47633,6549,59.1
11,0505,0.98,-822181,46465,6830,64.3
12,0507,1.46,-44168800,47086,6607,126.3
13,0506,1.53,-260366830,52830,5245,562.3
14,0506,1.50,-247832935,52418,5425,556.9
15,0507,0.96,-1532217,42033,7846,84.8
16,0505,1.41,-34131787,49809,6066,122.7
17,0505,1.31,-18559572,50095,5958,113.0
18,0506,1.50,-240869256,51223,5685,549.0
19,0505,0.84,-598982,43079,7528,98.4
20,0505,0.74,-417234,44496,7268,100.5
