episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.15,-4121341,68082,3330,361.1
2,0507,1.20,-2461522,57047,5337,73.0
3,0505,0.84,-1069043,32266,9842,31.3
4,0507,1.00,-1668503,44496,7620,87.3
5,0507,1.06,-937210,37554,8882,49.4
6,0507,0.71,-367167,32910,9726,49.4
7,0507,0.52,-300825,46784,7203,53.3
8,0505,0.78,-419579,26795,10838,62.5
9,0506,0.56,-298520,39244,8574,64.4
10,0507,0.94,-549280,43721,7760,70.3
11,0505,0.61,-253201,40074,8423,65.3
12,0506,1.04,-1072550,48055,6972,99.5
13,0506,0.98,-857025,45352,7464,85.0
14,0505,1.08,-619200,42363,8007,91.8
15,0506,0.60,-332255,40771,8296,89.5
16,0505,0.85,-412000,38732,8667,94.2
17,0507,0.62,-274132,35464,9262,105.5
18,0506,1.03,-966408,45708,7398,107.3
19,0505,0.89,-433712,39106,8599,104.7
20,0507,1.08,-654445,39674,8496,124.6
