episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.49,-46694345,61777,3072,133.6
2,0506,0.79,-990773,55430,4841,40.0
3,0506,1.04,-92496420,57511,4264,229.8
4,0505,1.36,-10497423,45708,6970,79.3
5,0505,0.57,-613277,59005,3926,55.8
6,0507,0.67,-6833941,44001,7123,47.5
7,0507,0.84,-16943706,35670,9064,68.4
8,0507,1.18,-222553153,33177,9574,357.1
9,0506,0.99,-10775855,42079,7514,99.5
10,0506,1.07,-105697498,45081,6986,230.5
11,0505,1.09,-2553161,48280,6265,76.7
12,0506,1.28,-208500110,60072,3593,488.8
13,0505,0.60,-521885,38380,8447,85.5
14,0507,1.16,-56104634,34576,9314,178.9
15,0506,1.34,-68263779,53871,5087,189.4
16,0507,0.82,-23537858,36502,8847,110.9
17,0505,1.32,-3974618,49369,6211,109.4
18,0505,1.20,-2486422,48852,6296,111.4
19,0507,1.59,-171556088,44331,7230,369.3
20,0507,1.39,-84458720,36774,8838,210.2
