episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.24,-5592834,69732,3030,1368.6
2,0505,0.74,-1640430,62591,4329,106.8
3,0505,0.71,-859866,32133,9867,45.7
4,0507,0.65,-938912,30009,10253,45.2
5,0505,0.77,-627311,47490,7074,50.0
6,0505,1.10,-805924,44905,7544,56.7
7,0506,0.58,-402115,41229,8213,49.3
8,0507,0.56,-376792,34807,9380,40.7
9,0507,1.06,-814959,37401,8909,61.3
10,0506,1.26,-1683216,41035,8248,224.3
11,0506,0.85,-809923,43450,7810,63.6
12,0506,0.54,-329295,26808,10835,61.4
13,0507,0.56,-288082,26490,10893,56.3
14,0505,1.06,-704021,33902,9546,64.7
15,0505,0.97,-599241,31243,10028,65.9
16,0506,1.19,-1490233,38655,8681,156.8
17,0507,0.64,-349180,26222,10942,66.0
18,0506,1.09,-1259623,36642,9048,113.1
19,0505,0.64,-307965,24760,11208,68.8
20,0505,0.83,-447324,27578,10696,74.6
