episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.39,-831994592,47325,6542,1144.6
2,0507,0.98,-556553700,58400,4405,811.0
3,0506,0.71,-48099280,57300,4780,85.1
4,0506,1.11,-338655298,48018,6412,567.9
5,0507,1.53,-366263380,53992,5671,673.0
6,0505,0.83,-5435521,47301,6884,47.9
7,0505,1.06,-42972199,50293,6362,108.1
8,0506,1.46,-365136509,56345,5132,746.0
9,0507,0.90,-46687689,59544,4539,104.5
10,0506,0.85,-1278380,55551,5505,66.5
11,0507,1.42,-104020830,56365,5198,213.3
12,0506,1.45,-260104345,53285,5959,553.5
13,0505,0.88,-1044579,53622,5866,77.8
14,0506,0.93,-3612387,53516,5901,89.2
15,0507,0.70,-33187231,54726,5370,111.0
16,0505,1.19,-3281254,51330,6314,96.8
17,0506,1.34,-155519138,54891,5611,371.6
18,0505,1.55,-24130748,54364,5745,132.7
19,0506,0.83,-1661517,55232,5513,106.4
20,0505,1.58,-33815199,54345,5746,163.2
