episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-426015343,59228,3745,572.6
2,0506,0.78,-29887790,53245,5646,53.1
3,0507,0.81,-176167159,51824,5530,240.5
4,0507,0.75,-113933093,17680,12481,125.4
5,0505,0.54,-583434,60899,4366,34.0
6,0506,0.85,-216033637,59269,4607,313.6
7,0506,0.51,-149116186,50997,6055,217.1
8,0506,0.95,-176617582,44325,7302,278.1
9,0505,1.45,-428064182,38117,8367,679.6
10,0505,1.24,-26945245,45726,7350,82.5
11,0506,0.86,-3673501,52850,5987,64.2
12,0505,0.65,-635278,56743,5173,60.7
13,0507,1.02,-2445834,51107,6241,72.2
14,0505,1.13,-2898219,52757,6042,77.4
15,0506,1.32,-128638792,54154,5742,264.4
16,0506,1.51,-149343875,55518,5486,300.4
17,0507,1.21,-6216689,49949,6535,97.9
18,0505,0.63,-505004,55155,5615,87.4
19,0506,0.98,-15960520,51932,6199,109.2
20,0507,0.63,-616630,53021,5993,92.8
