episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.91,-5349919,55289,5656,485.4
2,0506,0.58,-887783,63086,4239,23.7
3,0506,0.53,-1166759,50161,6589,38.3
4,0505,1.26,-994897,45717,7397,36.6
5,0506,0.70,-447801,26824,10832,29.4
6,0506,0.67,-381121,28427,10540,31.4
7,0505,0.55,-212579,34959,9353,31.5
8,0506,0.79,-507940,39841,8466,40.1
9,0507,0.80,-406399,30870,10096,39.5
10,0506,0.83,-541084,40141,8411,45.7
11,0507,1.11,-674069,37805,8836,52.4
12,0506,0.51,-248994,37658,8862,46.4
13,0506,0.93,-719166,41251,8209,55.0
14,0505,0.68,-283883,36422,9087,50.8
15,0505,1.17,-651495,38380,8731,61.7
16,0505,1.26,-778045,38512,8707,68.5
17,0507,0.60,-258865,32235,9848,59.6
18,0505,0.89,-421823,34970,9351,65.6
19,0506,0.81,-524522,38218,8760,69.4
20,0507,0.95,-527285,34961,9352,73.5
